"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"82","Calvin Austin","PIT","WR","17","2024","347","0.055","1.51","0.15","12.1","10.4","1.7","0.0","8.1","55","36","548","4","682","7.2","129","0.062","1.95","0.17","14.0","","","","","0.0","","","","","0.0","","","","","0.0"
"83","Bijan Robinson","ATL","RB","17","2024","347","0.003","1.23","0.20","1.2","0.9","0.3","0.0","1.2","70","61","431","1","-44","-2.6","20","0.050","1.55","0.45","5.0","","","","","0.0","1","0.000","9.00","1.00","0.0","302","0.003","1.07","0.16","1.0"
"84","Jalen Nailor","MIN","WR","17","2024","346","0.084","1.16","0.12","12.7","9.8","1.7","1.2","8.4","42","28","414","6","525","10.0","181","0.055","0.56","0.08","13.8","","","","","0.0","","","","","0.0","","","","","0.0"
"85","Amari Cooper","CLV, BUF","WR","14","2024","346","0.029","1.55","0.24","12.7","11.0","1.2","0.6","12.1","85","44","547","4","1142","7.8","283","0.025","1.79","0.27","13.4","","","","","0.0","","","","","0.0","","","","","0.0"
"86","Josh Downs","IND","WR","14","2024","345","0.104","2.28","0.30","15.1","12.5","2.6","0.0","6.4","104","72","803","5","712","5.9","51","0.098","2.33","0.37","11.8","","","","","0.0","1","0.000","31.00","1.00","0.0","5","0.400","3.80","0.80","40.0"
"87","Parker Washington","JAX","WR","17","2024","344","0.067","1.11","0.14","11.0","9.0","1.7","0.3","6.7","51","32","390","3","610","9.2","215","0.098","1.33","0.15","13.5","","","","","0.0","","","","","0.0","1","0.000","","","0.0"
"88","Van Jefferson","PIT","WR","17","2024","339","0.015","0.79","0.11","8.3","7.4","0.9","0.0","7.7","40","24","276","2","450","8.0","260","-0.008","0.89","0.11","7.3","","","","","0.0","","","","","0.0","","","","","0.0"
"89","Justin Watson","KC","WR","17","2024","337","0.050","0.84","0.09","8.9","7.1","1.8","0.0","5.6","31","22","289","2","474","9.9","215","0.047","0.82","0.09","9.3","","","","","0.0","4","0.000","2.80","0.40","0.0","","","","","0.0"
"90","Nico Collins","HST","WR","12","2024","336","0.161","2.94","0.29","20.5","17.0","3.3","0.3","8.3","99","68","1006","7","1161","8.3","256","0.164","3.22","0.29","22.3","","","","","0.0","","","","","0.0","1","0.000","-2.00","1.00","0.0"
"91","Jalen McMillan","TB","WR","13","2024","333","0.078","1.33","0.16","15.6","14.1","0.9","0.6","9.6","57","37","461","8","732","10.0","243","0.070","1.07","0.14","15.2","","","","","0.0","","","","","0.0","4","-0.250","","0.50","0.0"
