,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2024,71,Deebo Samuel,SF,WR,1,2,MIN,26.53061224489796,32.25806451612903,39,0.26,2.82,0.49,10,0.2,0.2,0.12,28,0.29,3.86,0.64,12,0.17,1.58,0.24,27,0.3,3.37,0.6
2024,72,Tee Higgins,CIN,WR,1,3,WAS,29.770992366412212,17.142857142857142,39,0.15,1,0.18,13,0.31,1.08,0.18,23,0.09,1.09,0.2,10,0.3,1.4,0.24,29,0.1,0.86,0.16
2024,73,Stefon Diggs,HST,WR,1,4,JAX,19,17.02127659574468,38,0.21,1.82,0.31,3,0.67,2,0.53,33,0.18,1.91,0.31,7,0.29,3.71,0.66,31,0.19,1.39,0.24
2024,74,Chris Godwin,TB,WR,1,6,NO,21.34831460674157,25,38,0.34,3.29,0.93,13,0.23,0.77,0.69,24,0.42,4.79,1.1,13,0.31,0.77,0.69,25,0.36,4.6,1.06
2024,75,Josh Reynolds,DEN,WR,1,1,SEA,34.54545454545455,42.10526315789473,38,0.21,1.18,0.25,8,0.38,4,0.65,28,0.18,0.46,0.15,21,0.14,1.19,0.17,17,0.29,1.18,0.35
2024,76,Jakobi Meyers,LV,WR,1,5,DEN,22.75449101796407,25,38,0.24,1.89,0.35,21,0.24,2.67,0.5,17,0.24,0.94,0.15,23,0.26,1.52,0.33,15,0.2,2.47,0.38
2024,77,Chris Olave,NO,WR,1,5,KC,29.457364341085274,14.285714285714285,38,0.11,0.26,0.08,11,0.09,0,0,26,0.12,0.38,0.12,10,0,0,0,28,0.14,0.36,0.11
2024,78,Jalen Tolbert,DAL,WR,1,2,NO,18.181818181818183,24.242424242424242,38,0.21,2.16,0.37,7,0.14,5.57,0.7,30,0.23,1.43,0.31,22,0.23,3.32,0.51,16,0.19,0.56,0.18
2024,79,Jahan Dotson,PHI,WR,1,3,NO,27.536231884057973,18.181818181818183,38,0.05,0.21,0.07,15,0,0,0,22,0.09,0.36,0.13,14,0,0,0,24,0.08,0.33,0.12
2024,80,Jaxon Smith-Njigba,SEA,WR,1,2,NE,16.170212765957448,33.33333333333333,38,0.42,3.08,0.62,17,0.35,2.71,0.51,21,0.48,3.38,0.72,21,0.43,3.24,0.66,17,0.41,2.88,0.58
2024,81,Tre Tucker,LV,WR,1,3,CAR,20.54054054054054,33.33333333333333,38,0.24,2.53,0.59,5,0.2,0,0,31,0.23,2.84,0.48,25,0.08,0.28,0.07,13,0.54,6.85,1.61
2024,82,Brian Thomas,JAX,WR,1,3,BUF,22.35294117647059,22.5,38,0.24,1.26,0.26,4,0,0,0,33,0.27,1.45,0.3,19,0.26,2.21,0.43,19,0.21,0.32,0.08
2024,83,Davante Adams,LV,WR,1,2,BLT,32.743362831858406,46.15384615384615,37,0.32,2.97,0.7,7,0.57,0.14,1.01,28,0.29,3.89,0.67,16,0.56,4.94,0.87,21,0.14,1.48,0.58
2024,84,Tyler Lockett,SEA,WR,1,6,SF,17.96116504854369,19.444444444444446,37,0.19,1.76,0.45,5,0.6,7.4,0.94,28,0.07,0.68,0.14,11,0.36,4.55,0.64,26,0.12,0.58,0.37
2024,85,Diontae Johnson,CAR,WR,1,6,ATL,19.576719576719576,18.867924528301888,37,0.27,2.11,0.54,7,0.29,1.43,1.14,27,0.3,2.52,0.44,8,0.25,3.63,0.61,29,0.28,1.69,0.51
2024,86,Darius Slayton,NYG,WR,1,6,CIN,19.072164948453608,29.72972972972973,37,0.3,1.54,0.32,11,0.45,1.09,0.29,26,0.23,1.73,0.33,23,0.35,1.65,0.34,14,0.21,1.36,0.28
2024,87,Brandon Aiyuk,SF,WR,1,5,ARZ,19.576719576719576,26.31578947368421,37,0.27,3.97,0.61,13,0.15,2.54,0.41,20,0.4,5.7,0.87,25,0.32,5.4,0.82,12,0.17,1,0.18
2024,88,Jerry Jeudy,CLV,WR,1,4,LV,17.78846153846154,25.71428571428571,37,0.24,1.95,0.36,4,0.25,0,0,33,0.24,2.18,0.4,11,0.36,1.55,0.34,26,0.19,2.12,0.37
2024,89,George Pickens,PIT,WR,1,4,IND,24.503311258278146,25.581395348837212,37,0.3,3.05,0.49,3,0.67,0,0,29,0.28,3.9,0.63,20,0.3,3.45,0.59,17,0.29,2.59,0.38
2024,90,Alec Pierce,IND,WR,1,5,JAX,23.717948717948715,13.636363636363635,37,0.08,3.62,0.61,13,0.15,5.31,0.68,21,0.05,3.1,0.64,19,0.16,7.05,1.18,18,0,0,0
2024,91,Jalen Tolbert,DAL,WR,1,5,PIT,17.703349282296653,30.303030303030305,37,0.27,2.35,0.59,7,0.29,1,0.24,27,0.22,2.81,0.47,22,0.18,0.77,0.17,15,0.4,4.67,1.2
2024,92,Jake Ferguson,DAL,TE,1,6,DET,24.666666666666668,11.76470588235294,37,0.11,0.3,0.11,18,0.11,0.06,0.06,17,0.12,0.59,0.18,17,0,0,0,20,0.2,0.55,0.2
2024,93,Tank Dell,HST,WR,1,3,MIN,22.424242424242426,17.24137931034483,37,0.14,1.68,0.3,10,0.1,1.7,0.27,25,0.16,1.8,0.34,10,0.2,3.6,0.56,27,0.11,0.96,0.21
2024,94,Amari Cooper,CLV,WR,1,4,LV,16.51376146788991,15.09433962264151,36,0.22,0.97,0.21,4,0,0,0,31,0.26,1.13,0.24,14,0.14,1.43,0.29,22,0.27,0.68,0.16
2024,95,Amari Cooper,CLV,WR,1,5,WAS,16.51376146788991,18.867924528301888,36,0.28,1.67,0.28,14,0.21,0.93,0.16,18,0.39,2.61,0.43,15,0.27,2.13,0.35,21,0.29,1.33,0.23
2024,96,Tyler Lockett,SEA,WR,1,2,NE,17.475728155339805,5.555555555555555,36,0.06,0.42,0.1,15,0.07,1.07,0.17,21,0.05,-0.05,0.04,17,0,0,0,19,0.11,0.79,0.18
2024,97,Mark Andrews,BLT,TE,1,1,KC,33.33333333333333,11.11111111111111,36,0.06,0.39,0.09,12,0.17,1.17,0.28,21,0,0,0,9,0.11,1.22,0.23,27,0.04,0.11,0.05
2024,98,Diontae Johnson,CAR,WR,1,4,CIN,19.047619047619047,22.641509433962266,36,0.33,2.31,0.59,13,0.38,3.92,0.7,22,0.32,1.45,0.55,22,0.41,3.41,0.89,14,0.21,0.57,0.13
2024,99,Darius Slayton,NYG,WR,1,5,SEA,18.556701030927837,29.72972972972973,36,0.31,3.39,0.73,19,0.37,4.89,1.07,17,0.24,1.71,0.35,24,0.17,3.58,0.78,12,0.58,3,0.63
2024,100,A.J. Brown,PHI,WR,1,1,GB,61.016949152542374,50,36,0.25,3.31,0.64,11,0.27,6.82,1.41,25,0.24,1.76,0.3,20,0.25,4.4,0.89,16,0.25,1.94,0.32
2024,101,Colby Parkinson,LA,TE,1,5,GB,24,41.935483870967744,36,0.36,1.44,0.34,13,0.31,0.69,0.15,23,0.39,1.87,0.45,24,0.25,0.63,0.15,12,0.58,3.08,0.72
2024,102,Justin Jefferson,MIN,WR,1,5,NYJ,25.71428571428571,32.55813953488372,36,0.39,2.56,0.42,15,0.6,3.47,0.48,21,0.24,1.9,0.38,25,0.4,2.44,0.4,11,0.36,2.82,0.46
2024,103,CeeDee Lamb,DAL,WR,1,6,DET,17.061611374407583,26.923076923076923,36,0.39,2.47,0.44,17,0.35,2.71,0.39,18,0.39,2.39,0.52,17,0.41,4.29,0.66,19,0.37,0.84,0.24
2024,104,DeVonta Smith,PHI,WR,1,1,GB,29.03225806451613,25,36,0.22,2.33,0.43,11,0.18,2.45,0.43,25,0.24,2.28,0.43,20,0.3,2.95,0.59,16,0.13,1.56,0.22
2024,105,Elijah Moore,CLV,WR,1,3,NYG,18.947368421052634,13.636363636363635,36,0.08,0.47,0.1,16,0,0,0,20,0.15,0.85,0.18,27,0.07,0.19,0.06,9,0.11,1.33,0.24
2024,106,Wan'Dale Robinson,NYG,WR,1,5,SEA,19.25133689839572,16.666666666666664,36,0.25,1,0.43,18,0.17,0.61,0.51,18,0.33,1.39,0.36,25,0.32,1.36,0.58,11,0.09,0.18,0.11
2024,107,Tre Tucker,LV,WR,1,5,DEN,19.45945945945946,18.51851851851852,36,0.14,0.5,0.11,19,0.16,0.63,0.12,17,0.12,0.35,0.09,21,0.14,0.29,0.08,15,0.13,0.8,0.15
2024,108,Jonathan Mingo,CAR,WR,1,4,CIN,25.899280575539567,22.727272727272727,36,0.14,0.67,0.15,13,0.08,0,0,22,0.18,1.09,0.25,24,0.08,0.29,0.07,12,0.25,1.42,0.31
2024,109,Malik Nabers,NYG,WR,1,4,DAL,24.82758620689655,28.846153846153843,36,0.42,3.19,0.65,8,0.25,1,0.23,27,0.48,3.96,0.8,24,0.46,4,0.78,12,0.33,1.58,0.41
2024,110,Brandin Cooks,DAL,WR,1,2,NO,27.34375,10.526315789473683,35,0.06,0.54,0.11,8,0,0,0,26,0.08,0.73,0.15,19,0.05,0.58,0.11,16,0.06,0.5,0.11
