"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"141","Hunter Henry","TE","NE","11","-","-","136.9","15","9.13","5","0","0","0","0","0","-","-","-","69.6","52.0","576.1","4.6","-","-","-","-","-"
"142","Dalton Schultz","TE","HST","8","-","-","136.5","15","9.10","5","0","0","0","0","0","-","-","-","76.2","57.3","581.2","3.6","-","-","-","-","-"
"143","Dalton Kincaid","TE","BUF","7","-","-","134.2","14.5","9.26","5","0","0","0","0","0","-","-","-","69.1","52.0","574.3","4.2","-","-","-","-","-"
"144","Matthew Golden","WR","GB","11","-","-","134.0","15","8.93","10","0","0","0","0","0","7.0","36.4","0.1","70.5","45.2","615.7","3.9","-","-","-","-","-"
"145","Pat Freiermuth","TE","PIT","9","-","-","133.7","15","8.91","5","0","0","0","0","0","-","-","-","73.3","55.5","544.2","4.0","-","-","-","-","-"
"146","Juwan Johnson","TE","NO","8","-","-","133.3","15","8.88","5","0","0","0","0","0","-","-","-","72.2","54.5","601.1","3.2","-","-","-","-","-"
"147","Kenyon Sadiq","TE","NYJ","13","-","-","131.5","15","8.77","5","0","0","0","0","0","-","-","-","75.3","57.1","541.9","3.5","-","-","-","-","-"
"148","T.J. Hockenson","TE","MIN","6","-","-","131.3","15","8.75","5","0","0","0","0","0","-","-","-","74.9","57.4","518.9","3.7","-","-","-","-","-"
"149","George Kittle","TE","SF","8","-","-","131.0","11.5","11.39","5","0","0","0","0","0","0.6","1.9","0.0","62.1","48.2","538.9","4.8","-","-","-","-","-"
"150","Jauan Jennings","WR","MIN","6","-","-","130.5","15","8.70","11","0","0","0","0","0","-","-","-","72.9","47.6","608.0","3.7","-","-","-","-","-"
"151","Ryan Flournoy","WR","DAL","14","-","-","129.8","15","8.65","11","0","0","0","0","0","2.6","14.5","0.0","64.7","44.1","610.2","3.9","-","-","-","-","-"
"152","KC Concepcion","WR","CLV","11","-","-","128.6","15","8.57","11","0","0","0","0","0","-","-","-","84.2","52.5","563.8","3.4","-","-","-","-","-"
"153","Tre Tucker","WR","LV","13","-","-","127.5","15","8.50","11","0","0","0","0","0","7.5","43.6","0.2","67.2","41.3","596.0","3.5","-","-","-","-","-"
"154","Tua Tagovailoa","QB","ATL","11","-","-","127.3","9","14.14","10","295","193","2034","11.9","9","20.6","60.7","0.4","-","-","-","-","-","-","-","-","-"
"155","Jalen Nailor","WR","LV","13","-","-","127.2","15","8.48","11","0","0","0","0","0","2.4","12.4","0.0","70.9","44.6","599.0","3.6","-","-","-","-","-"
"156","Omar Cooper Jr.","WR","NYJ","13","-","-","125.9","15","8.39","11","0","0","0","0","0","-","-","-","70.9","46.4","583.5","3.6","-","-","-","-","-"
"157","Jalen Coker","WR","CAR","5","-","-","125.7","14","8.98","11","0","0","0","0","0","-","-","-","73.8","49.9","585.5","2.9","-","-","-","-","-"
"158","Cade Otton","TE","TB","10","-","-","125.1","15","8.34","5","0","0","0","0","0","-","-","-","76.6","55.6","487.2","3.5","-","-","-","-","-"
"159","Rashid Shaheed","WR","SEA","11","-","-","124.2","15","8.28","11","0","0","0","0","0","7.0","40.0","0.2","69.2","44.2","567.1","3.1","-","-","-","-","-"
"160","Antonio Williams","WR","WAS","7","-","-","119.4","15","7.96","11","0","0","0","0","0","-","-","-","72.9","47.7","535.0","3.1","-","-","-","-","-"
